English,French,Frequency
cannot,ne peux pas,718
capitol,Capitole,0
captain,capitaine,54
cardinal,cardinal,6
cares,se soucie,37
carry,porter,79
castle,Château,49
catch,capture,67
cause,cause,335
cease,cesser,42
certain,certain,167
chain,chaîne,63
chair,chaise,39
challenge,défi,47
chamber,chambre,106
chance,chance,103
change,changement,147
charge,charge,195
charity,charité,53
chaste,chaste,36
cheek,joue,74
cheer,acclamation,71
chide,gronder,45
chief,chef,30
child,enfant,217
choice,choix,69
church,église,53
cinna,cinna,0
citizen,citoyenne,5
civil,civil,48
claim,prétendre,62
clarence,clarté,0
claud,claud,0
claudio,Claudio,0
clear,clair,57
clifford,Clifford,0
close,proche,94
cloten,cailloter,0
clothes,vêtements,40
clouds,des nuages,57
clown,pitre,16
college,Université,3
colour,Couleur,72
comes,vient,589
comfort,confort,173
coming,venir,141
cominius,cominius,0
command,commander,156
commanded,commandé,35
commend,saluer,58
commercial,commercial,0
commission,commission,47
commit,commettre,30
common,commun,149
companion,un compagnon,36
company,entreprise,202
complete,Achevée,19
complexion,complexion,40
condition,état,54
conduct,conduite,46
confess,avouer,115
conscience,conscience,119
consent,consentement,88
consider,considérer,36
constable,gendarme,16
constant,constant,47
contempt,mépris,42
content,contenu,140
contrary,contraire,47
copies,copies,4
copyright,droits d'auteur,7
could,pourrait,553
council,conseil,21
counsel,Conseil,126
count,compter,40
counterfeit,contrefaire,50
countess,comtesse,1
country,pays,135
courage,courage,57
course,cours,157
court,tribunal,245
courtesy,courtoisie,63
cousin,cousin,222
coward,lâche,83
crave,demander,41
creature,créature,67
credit,crédit,51
cromwell,Cromwell,0
cross,traverser,61
crown,couronne,254
cruel,cruel,69
cunning,ruse,72
cupid,Cupidon,0
curse,malédiction,97
custom,Douane,41
dagger,dague,42
damned,damné,42
dance,Danse,67
danger,danger,97
darkness,obscurité,37
daughter,fille,398
deadly,mortel,48
dearest,très cher,55
dearly,chèrement,41
death,décès,806
deeds,actes,119
defend,défendre,65
degree,diplôme,46
delight,délice,55
deliver,livrer,85
demand,demande,53
denied,refusé,52
depart,partir,61
desert,désert,44
deserve,mériter,59
desire,le désir,208
despair,désespoir,46
desperate,désespéré,49
despite,malgré,44
device,dispositif,42
devil,diable,213
devise,concevoir,44
didst,didst,145
dinner,dîner,84
discourse,discours,57
discover,découvrir,31
disgrace,disgrâce,45
dishonour,déshonorer,37
dispatch,envoi,57
displeasure,mécontentement,40
disposition,disposition,44
distributed,distribué,2
divine,Divin,48
doctor,docteur,30
doing,Faire,61
dolabella,Dolabella,0
doors,des portes,61
double,double,73
doubt,doute,161
download,Télécharger,0
dramatis,dramatis,0
drawn,tiré,79
dread,crainte,44
dreadful,horrible,59
dream,rêver,112
dreams,rêves,45
drink,boisson,146
drops,gouttes,50
drown,noyer,39
drums,tambours,36
drunk,ivre,66
duncan,Duncan,0
durst,durst,45
dwell,habiter,38
dying,en train de mourir,43
early,de bonne heure,46
earth,Terre,298
edmund,Edmund,0
effect,effet,70
egypt,Egypte,0
either,Soit,109
elbow,coude,11
elder,aîné,40
embrace,embrasse,61
emilia,Émilie,0
emperor,empereur,14
empty,vide,48
encounter,rencontre,51
endure,supporter,73
enemies,ennemis,111
enemy,ennemi,157
enjoy,prendre plaisir,42
enobarbus,énobarbus,0
enough,assez,289
enter,entrer,111
entertain,divertir,39
entertainment,divertissement,37
entreat,supplier,106
equal,égal,42
estate,biens,48
eternal,éternel,37
every,chaque,455
everything,tout,41
excellent,excellent,100
except,sauf,22
excuse,excuse,72
execution,exécution,48
exeter,Exeter,0
exeunt,sortir,7
express,Express,34
faces,visages,54
faint,perdre connaissance,43
fairy,Fée,40
faith,Foi,309
falls,des chutes,67
false,faux,274
familiar,familier,34
fancy,fantaisie,47
farewell,adieu,161
farther,plus loin,42
fashion,mode,98
fatal,fatal,40
father,père,796
fault,faute,162
favour,favoriser,118
fearful,craintif,89
fears,peurs,74
feast,le banquet,97
feeble,faible,21
fellow,compagnon,290
fenton,Fenton,0
ferdinand,Ferdinand,0
fetch,chercher,102
field,champ,183
fiend,démon,61
fierce,féroce,37
fiery,ardent,45
fight,bats toi,266
figure,figure,40
finds,trouve,38
finger,doigt,60
first,première,458
flatter,flatter,40
flesh,la chair,130
flies,mouches,52
flight,vol,52
flood,inonder,46
flourish,fleurir,38
flower,fleur,40
flowers,fleurs,47
follow,suivre,254
folly,folie,78
foolish,insensé,93
fools,imbéciles,112
forbear,ancêtre,43
forbid,interdire,70
force,Obliger,103
forces,les forces,42
forest,forêt,60
forget,oublier,87
former,ancien,63
forsooth,en vérité,41
forth,en avant,366
fortune,fortune,242
forward,vers l'avant,87
fought,combattu,64
found,a trouvé,214
fourth,Quatrième,11
frame,Cadre,45
france,France,0
freely,librement,52
french,français,0
fresh,Frais,83
friend,ami,425
frown,froncer les sourcils,45
fruit,fruit,36
further,plus loin,184
gallant,galant,53
garden,jardin,43
gates,portes,101
gaunt,décharné,5
general,général,179
gentle,doux,339
ghost,fantôme,29
given,donné,183
giving,donnant,32
glass,verre,56
glorious,glorieux,40
glory,gloire,83
going,Aller,99
golden,d'or,86
goodness,la bonté,55
gower,gower,0
grace,la grâce,274
grant,subvention,97
grave,la tombe,175
great,génial,809
green,vert,78
greet,saluer,41
grief,douleur,207
grieve,pleurer,39
gross,brut,53
ground,sol,161
grown,grandi,55
guard,garde,105
guess,devine,47
guilty,coupable,68
habit,habitude,39
hands,mains,319
hanging,pendaison,32
hangs,bloque,34
happiness,bonheur,55
happy,heureux,185
haste,hâte,148
hateful,odieux,39
having,ayant,121
hazard,danger,38
heads,têtes,111
health,santé,90
heard,entendu,335
heart,cœur,981
heaven,paradis,539
heavy,lourd,163
hector,Hector,0
heels,talons,73
hence,Par conséquent,310
henceforth,désormais,25
hereafter,"ci-après, par la suite",45
herself,se,91
highness,altesse,1
holds,tient,73
hollow,creux,46
honest,honnête,271
horse,cheval,219
hostess,hôtesse,28
hours,heures,148
house,maison,516
hubert,Hubert,0
humble,humble,63
humour,humour,86
hundred,cent,113
husband,mari,285
ignorant,ignorant,48
image,image,45
includes,comprend,2
indeed,En effet,357
infinite,infini,38
innocent,innocent,50
instant,instant,61
intend,avoir l'intention,50
intent,intention,49
issue,problème,109
itself,lui-même,236
jealous,jaloux,48
jewel,bijou,57
judge,juge,80
judgment,jugement,98
julia,Julia,0
justice,Justice,141
keeps,garde,68
kindness,la gentillesse,50
kingdom,Royaume,91
kings,rois,130
knave,fripon,165
kneel,s'agenouiller,53
knees,les genoux,51
knife,couteau,52
knight,Chevalier,116
knock,frappe,54
knowing,connaissance,31
knowledge,connaissance,76
known,connu,184
knows,sait,205
labour,la main d'oeuvre,78
ladies,Dames,104
ladyship,Madame,38
lands,terres,58
large,grand,69
laugh,rire,83
launce,lancer,0
lawful,légitime,60
learn,apprendre,84
learned,appris,48
least,moins,101
leave,laisser,604
leisure,loisir,63
leontes,leontes,0
letter,lettre,243
liberty,liberté,71
library,bibliothèque,3
liege,Liege,138
lieutenant,lieutenant,31
light,lumière,250
limbs,membres,47
little,peu,474
lives,vies,187
living,vivant,119
longer,plus long,106
looks,regards,202
loose,ample,47
lords,seigneurs,354
lordship,seigneurie,113
lorenzo,Lorenzo,0
lovely,charmant,53
lovers,les amoureux,67
loves,aime,257
loving,aimant,114
lucentio,Lucentio,0
machine,machine,2
madness,la démence,67
maiden,jeune fille,41
maids,servantes,48
maintain,maintenir,38
majesty,majesté,69
makes,fait du,313
making,fabrication,54
malice,malice,69
manner,manière,80
march,Mars,74
marcius,Marcius,0
marcus,Marcus,0
margaret,margaret,0
maria,maria,0
mariana,Mariana,0
marriage,mariage,108
marry,marier,182
master,Maître,429
match,rencontre,81
matter,matière,351
meaning,sens,52
means,veux dire,261
meant,signifiait,49
measure,mesure,87
meeting,réunion,48
membership,adhésion,0
memory,Mémoire,58
merchant,marchande,24
mercy,pitié,162
merit,mérite,50
merry,joyeux,164
messenger,Messager,58
midnight,minuit,41
might,pourrait,451
mighty,puissant,107
milan,Milan,0
minds,esprits,62
minister,ministre,38
miranda,Miranda,0
mirth,gaieté,50
mischief,sottises,41
misery,misère,37
mistake,erreur,34
mistress,maîtresse,259
modest,modeste,35
money,argent,175
monster,monstre,62
month,mois,42
morning,Matin,123
morrow,demain,109
mortal,mortel,94
mother,mère,322
motion,mouvement,78
mouth,bouche,128
mowbray,mowbray,0
murder,meurtre,48
murther,aller plus loin,35
music,la musique,160
myself,moi même,512
naked,nu,50
names,des noms,56
native,originaire de,43
natural,Naturel,57
nature,la nature,303
needs,Besoins,142
neighbour,voisine,45
neither,ni,154
never,jamais,899
niece,nièce,60
night,nuit,624
noble,noble,583
noise,bruit,107
nothing,rien,538
nought,néant,54
number,nombre,50
nurse,infirmière,68
oaths,serments,68
obedience,obéissance,48
oberon,Oberon,0
object,objet,39
occasion,occasion,73
offence,infraction,93
offend,offenser,56
offer,offre,85
office,Bureau,126
often,souvent,120
oliver,oliver,0
opinion,opinion,80
order,ordre,88
orlando,orlando,0
other,autre,653
others,autres,211
ourselves,nous-mêmes,108
outward,vers l'extérieur,49
oxford,Oxford,0
padua,Padoue,0
pains,des douleurs,91
painted,peint,51
painter,peintre,9
palace,palais,151
pandarus,Pandarus,0
paper,papier,104
pardon,pardon,232
paris,Paris,0
parolles,parolles,0
parted,séparé,41
particular,particulier,54
partly,partiellement,33
parts,les pièces,108
party,fête,50
passage,passage,35
passion,la passion,104
patience,la patience,160
patient,patient,85
paulina,paulina,0
peace,paix,392
pedro,pedro,0
people,gens,193
perceive,apercevoir,89
percy,Percy,0
perfect,parfait,54
perhaps,peut-être,31
peril,péril,43
permission,autorisation,4
person,la personne,147
personal,personnel,13
phebe,phebe,0
philip,Philippe,0
picture,image,41
piece,pièce,86
pistol,pistolet,3
place,endroit,423
plague,peste,88
plain,plaine,111
plead,plaider,41
please,S'il vous plaît,333
pleasure,plaisir,178
pluck,cueillir,86
poins,poins,0
point,point,141
poison,poison,75
policy,politique,45
polixenes,polixènes,0
pompey,pompey,0
porter,porter,16
possible,possible,57
posthumus,posthume,0
pound,livre,53
power,Puissance,302
practice,entraine toi,41
praise,louange,177
prayers,prières,86
precious,précieux,74
prepare,préparer,48
presence,présence,103
present,présent,237
pretty,jolie,108
pride,fierté,106
priest,prêtre,58
prince,prince,109
prison,prison,88
private,privé,66
prize,prix,47
proceed,procéder,47
proclaim,proclamer,30
profit,profit,36
prohibited,interdit,0
project,projet,11
prologue,prologue,18
promise,promettre,99
proof,preuve,74
proper,correct,60
protector,protecteur,2
protest,manifestation,52
proud,fier,184
prove,prouver,233
provided,à condition de,26
public,Publique,55
purpose,objectif,202
purse,bourse,81
quality,qualité,55
quarrel,querelle,93
queen,reine,178
question,question,141
quick,rapide,91
quiet,silencieux,73
quite,assez,72
quoth,quoth,61
raise,élever,43
ransom,une rançon,53
rascal,coquin,55
rather,plutôt,289
readable,lisible,2
ready,prêt,125
realm,domaine,53
reason,raison,272
receive,recevoir,79
regard,qui concerne,41
reign,règne,39
reignier,règne,0
remain,rester,56
remedy,remède,59
remember,rappelles toi,151
render,rendre,40
repair,réparation,38
repent,se repentir,52
report,rapport,140
reputation,réputation,45
request,demande,65
respect,le respect,99
return,revenir,175
revenge,vengeance,130
reverence,révérence,42
revolt,révolte,41
right,droite,323
rivers,rivières,11
rogue,coquin,77
rotten,pourri,35
rough,rugueux,63
round,rond,71
royal,Royal,202
sacred,sacré,46
safety,sécurité,73
saint,Saint,22
salerio,salerio,0
satisfied,satisfait,47
saying,en disant,50
scarce,rare,65
scene,scène,34
scorn,mépris,93
search,chercher,35
season,saison,39
second,seconde,100
secret,secret,63
seeing,voyant,39
senate,sénat,0
senator,sénateur,4
sense,sens,123
sentence,phrase,39
servant,serviteur,138
serve,servir,183
service,un service,220
seven,Sept,62
several,nombreuses,79
shadow,ombre,68
shake,secouer,90
shall,doit,3123
shame,la honte,290
shape,forme,87
sharp,tranchant,60
shepherd,berger,54
shine,éclat,43
shore,rive,48
short,court,91
shortly,prochainement,44
should,devrait,1425
shows,montre,94
sickness,maladie,51
sight,vue,198
silence,silence,62
silver,argent,58
simple,Facile,67
since,depuis,285
single,Célibataire,57
sirrah,sirrah,76
sister,sœur,177
skill,compétence,47
slain,tué,123
slander,calomnie,43
slave,esclave,124
sleep,sommeil,235
slender,mince,10
small,petit,83
smell,odeur,47
smile,sourire,69
soldier,soldat,130
solemn,solennel,38
somerset,somerset,0
something,quelque chose,150
sometime,parfois,58
sooner,plus tôt,60
soothsayer,devin,3
sorrow,chagrin,172
sorry,Pardon,88
sought,recherché,34
souls,âmes,131
sound,du son,172
sovereign,souverain,138
spare,de rechange,48
speak,parler,967
speaks,parle,125
special,spécial,37
speech,discours,127
speed,la vitesse,112
spend,dépenser,66
spirit,esprit,252
spite,dépit,59
spoke,parlait,137
sport,sport,119
spring,printemps,54
staff,Personnel,39
stain,tache,36
stand,supporter,449
stars,étoiles,67
state,Etat,301
steal,voler,78
steel,acier,67
steward,intendant,22
still,encore,488
stomach,estomac,41
stone,calcul,57
stood,se tenait,82
store,boutique,38
storm,orage,50
story,récit,67
straight,tout droit,144
strange,étrange,239
street,rue,79
strength,force,117
strike,la grève,116
stroke,accident vasculaire cérébral,39
strong,fort,179
struck,frappé,71
study,étude,57
stuff,des trucs,48
subject,matière,101
substance,substance,41
success,Succès,44
sudden,soudain,78
suddenly,tout à coup,48
suffer,souffrir,78
suffolk,suffolk,0
summer,été,54
supper,souper,53
surely,sûrement,34
surrey,Surrey,0
suspect,suspect,35
swear,jurer,231
sweat,transpiration,36
sweet,sucré,646
swift,rapide,63
sword,épée,343
swore,juré,50
sworn,juré,130
syracuse,Syracuse,0
table,table,55
tailor,tailleur,33
taken,pris,90
talbot,talbot,0
tarry,goudronneux,35
taste,goût,75
taught,enseigné,47
teach,enseigner,91
tears,larmes,274
tedious,fastidieux,43
teeth,les dents,55
tells,raconte,42
tempest,tempête,40
tender,soumissionner,136
terms,termes,74
thank,remercier,275
their,leur,1935
themselves,se,157
there,Là,1318
therefore,par conséquent,363
therein,la bride,47
these,celles-ci,1100
thief,voleur,66
thing,chose,355
think,pense,948
third,troisième,71
thomas,Thomas,0
those,ceux,467
though,bien que,394
thought,pensée,371
thrive,prospérer,56
throat,gorge,50
throne,trône,67
through,par,225
throw,jeter,88
thrust,poussée,47
thunder,tonnerre,48
times,fois,224
title,Titre,87
together,ensemble,240
tongue,langue,390
tonight,ce soir,179
touch,toucher,106
toward,vers,94
tower,la tour,10
train,train,67
traitor,traitre,120
tread,bande de roulement,40
treason,trahison,82
treasure,Trésor,51
trial,procès,57
tribunes,tribunes,27
trick,tour,50
triumph,triomphe,44
trouble,difficulté,72
truly,vraiment,124
trumpet,trompette,73
trust,confiance,155
truth,vérité,327
turns,se tourne,47
twice,deux fois,61
tyrant,tyran,47
ulysses,Ulysse,0
uncle,oncle,175
under,sous,200
understand,comprendre,97
undertake,entreprendre,44
undone,défait,52
unhappy,malheureux,34
unknown,inconnue,41
unless,sauf si,64
until,jusqu'à,41
unworthy,indigne,31
utter,prononcer,37
valentine,Valentin,0
valiant,vaillant,143
valour,valeur,93
vantage,avantage,39
vengeance,vengeance,48
venice,venise,0
version,version,1
victory,la victoire,46
villain,scélérat,217
viola,alto,0
violent,violent,40
virtue,vertu,169
visit,visite,50
voice,voix,155
walls,des murs,84
warlike,guerrier,60
warrant,mandat,173
waste,déchets,43
watch,regarder,114
water,eau,133
wealth,richesse,71
weapons,armes,41
weary,se lasser,71
weeds,mauvaises herbes,42
weeping,larmes,52
weight,poids,44
welcome,Bienvenue,272
wench,jeune fille,56
whence,d'où,58
where,où,647
wherein,où,66
whether,qu'il s'agisse,55
which,lequel,1412
while,tandis que,174
whither,où,38
whole,entier,119
whore,putain,43
whose,dont,380
widow,veuve,60
willing,prêt,35
window,la fenêtre,44
wings,ailes,54
winter,hiver,43
wisdom,sagesse,88
witch,sorcière,42
withal,avec,136
within,dans,339
without,sans pour autant,283
witness,témoin,105
wives,épouses,58
wolsey,Wolsey,0
woman,femme,318
wonder,merveille,111
works,travaux,25
world,monde,622
worse,pire,151
worship,culte,93
worth,vaut,200
would,aurait,2023
wound,blessure,70
wounded,blessés,36
wrath,colère,54
wretch,misérable,57
write,écrire,105
written,écrit,34
wrong,faux,224
wrought,forgé,40
yield,rendement,128
yonder,là-bas,56
young,Jeune,401
yours,le tiens,247
yourself,toi même,268
youth,jeunesse,270
